// Gentilicis estrangers
// Agafats del llibre de na C. Rigo i na M.M. Ramon

abkhaz
abrucès abrucesa
acadià acadiana
acarnani acarnània
accadi accàdia
adjar
afganès afganesa
africà africana
alaman alamana
albanès albanesa
alemany alemanya
alentejà alentejana
algarvès algarvesa
algerià algeriana
algerí algerina
alsacià alsaciana
altaic altaica
alvernès alvernesa
americà americana
andalusí andalusina
andamanès andamanesa
andí andina
angeví angevina
anglès anglesa
angolès angolesa
anguillà anguillana
annamita
antillà antillana
antioquè antioquena
aqueu aquea
aquità aquitana
arcàdic arcàdica
aretí aretina
argentí argentina
argiu argiva
armanyaguès armanyaguesa
armeni armènia
armoricà armoricana
arussi
assamès assamesa
assiri assíria
assirià assiriana
atenenc atenenca
atenès atenesa
atlant
ausetà ausetana
australià australiana
austríac austríaca
azerbaidjanès azerbaidjanesa
babiloni babilònia
badès badesa
baixkir baixkira
balcànic balcànica
balinès balinesa
balkar
balès balesa
bastetà bastetana
bastità bastitana
batau batava
bavarès bavaresa
bearnès bearnesa
bederrès bederresa
belga
beneventà beneventana
bengalí bengalina
beninès beninesa
beoci beòcia
bergamasc bergamasca
berlinès berlinesa
bernès bernesa
berrienc berrienca
berrixó berrixona
betlemita
bhutanès bhutanesa
biafrès biafresa
biarnès biarnesa
bielorús bielorussa
bigordà bigordana
birmà birmana
bitini bitínia
bizantí bizantina
bohemi bohèmia
bolivià boliviana
bolonyès bolonyesa
bordelès bordelesa
borgonyó borgonyona
bosnià bosniana
botswanès botswanesa
brasiler brasilera
bretó bretona
britànic britànica
bruci brúcia
burgundi burgúndia
burundià burundiana
burundès burundesa
bètic bètica
búlgar búlgara
cabilenc cabilenca
cairenc cairenca
cairota
caixmirià caixmiriana
caixmirà caixmirana
calabrès calabresa
caldeu caldea
caledonià caledoniana
californià californiana
callerès calleresa
cambotjà cambotjana
camerunès camerunesa
campanià campaniana
campidanès campidanesa
canadenc canadenca
cananeu cananea
cantonès cantonesa
caorsí caorsina
capadoci capadòcia
carcinol carcinola
carelià careliana
cari cària
caribenc caribenca
caribeny caribenya
carioca
carpetà carpetana
cartaginès cartaginesa
caucasià caucasiana
celtiber celtibera
centreafricà centreafricana
ceretà ceretana
cerretà cerretana
cingalès cingalesa
circassià circassiana
cirenaic cirenaica
cnidi cnídia
colombià colombiana
colossenc colossenca
congolès congolesa
constantinopolità constantinopolitana
coreà coreana
corinti coríntia
cors corsa
cossetà cossetana
costa-riqueny costa-riquenya
cretenc cretenca
croat croata
cubà cubana
cumà cumana
curd curda
curlandès curlandesa
còrnic còrnica
daci dàcia
daguestànic daguestànica
dahomeià dahomeiana
dakota
damascè damascena
damasquí damasquina
danès danesa
delfinès delfinesa
deli dèlia
dertusà dertusana
dominicà dominicana
dominiquès dominiquesa
dori dòria
dublinès dublinesa
dàlmata
eblaïta
edetà edetana
efesi efèsia
egarenc egarenca
egarense
egipci egípcia
egipcià egipciana
elamita
eleusini eleusínia
emilià emiliana
emporità emporitana
eoli eòlia
epirota
equatoguineà equatoguineana
equatorià equatoriana
eritreu eritrea
escandinau escandinava
escita
esclavó esclavona
escocès escocesa
eslavònic eslavònica
eslovac eslovaca
eslovè eslovena
espartà espartana
estonià estoniana
etiòpic etiòpica
etoli etòlia
etrusc etrusca
etíop
europeu europea
fenici fenícia
feroès feroesa
fijià fijiana
filipenc filipenca
filipí filipina
finlandès finlandesa
flamenc flamenca
florentí florentina
foceu focea
franconià franconiana
francès francesa
francònic francònica
frigi frígia
frisó frisona
friülès friülesa
furlà furlana
gabaonita
gabonès gabonesa
gal gal·la
galileu galilea
gal·loromà gal·loromana
gal·lès gal·lesa
gambià gambiana
gascó gascona
genovès genovesa
georgià georgiana
germà germana
germànic germànica
gerundense
ghanès ghanesa
gibraltarenc gibraltarenca
gibraltareny gibraltarenya
ginebrí ginebrina
girondí girondina
goès goesa
grec grega
grenlandès grenlandesa
grisó grisona
groenlandès groenlandesa
guatemalenc guatemalenca
guineà guineana
guti
gàlata
gàl·lic gàl·lica
hagiorita
haitià haitiana
hamburguès hamburguesa
havà havana
hawaià hawaiana
helveci helvècia
hindustànic hindustànica
hispanoamericà hispanoamericana
hispanoromà hispanoromana
hispà hispana
holandès holandesa
hondurenc hondurenca
hondureny hondurenya
hongarès hongaresa
iacetà iacetana
iber ibera
iberoamericà iberoamericana
idumeu idumea
iemenita
iguví iguvina
ilerdense
ilurenc ilurenca
il·liri il·líria
ilíac ilíaca
indi índia
indonesi indonèsia
indostànic indostànica
indoxinès indoxinesa
iranià iraniana
iraquià iraquiana
irlandès irlandesa
isauri isàuria
islandès islandesa
israelita
israelià israeliana
italià italiana
itaquès itaquesa
itàlic itàlica
iugoslau iugoslava
ivorià ivoriana
jacetà jacetana
jamaicà jamaicana
japonès japonesa
javanès javanesa
jebuseu jebusea
jerosolimità jerosolimitana
joni jònia
jordà jordana
jueu jueva
jurassià jurassiana
jut juta
kabardí kabardina
kanarès kanaresa
karakalpak
karatxai
kazakh
kenyà kenyana
khotanès khotanesa
kievià kieviana
kosovar
kosovenc kosovenca
kosovès kosovesa
kurd kurda
kuwaitià kuwaitiana
lacedemoni lacedemònia
laci làcia
laconi lacònia
laietà laietana
laosià laosiana
lapó lapona
lesbià lesbiana
letó letona
libanès libanesa
liberià liberiana
libi líbia
lici lícia
lidi lídia
liegès liegesa
limburguès limburguesa
lionès lionesa
lisboeta
lisbonès lisbonesa
lituà lituana
livonià livoniana
llatinoamericà llatinoamericana
llatí llatina
llemosí llemosina
llenguadocià llenguadociana
llombard llombarda
londinenc londinenca
lorenès lorenesa
lucà lucana
lusità lusitana
luvi
luxemburguès luxemburguesa
lígur
macedoni macedònia
